authfull,field,rank_openalex,rank_global,rank_change,c_score_openalex,elsevier_pct,nc,h
"Gombrich, Ernst H.","Art Practice, History & Theory",473.0,1210493.0,1210020.0,3.605080670122044,0.0,1332,17
"Krauss, Rosalind E.","Art Practice, History & Theory",180.0,1199777.0,1199597.0,4.3570580467350055,0.0,6070,34
"Bryan-Wilson, Julia","Art Practice, History & Theory",510.0,1196368.0,1195858.0,3.248200029957074,0.0,672,12
"Brown, Lee B.","Art Practice, History & Theory",486.0,1156688.0,1156202.0,3.492901299926954,0.9803921568627452,1291,15
"Scholz, Trebor","Art Practice, History & Theory",509.0,1134242.0,1133733.0,3.2555077701466715,0.0,1280,7
"Roxburgh, David J.","Art Practice, History & Theory",519.0,1112087.0,1111568.0,2.7858524029433114,0.0,347,7
"Mathur, Saloni","Art Practice, History & Theory",533.0,1102535.0,1102002.0,1.373691626990217,20.0,126,4
"Klein, Cecelia F.","Art Practice, History & Theory",500.0,1092895.0,1092395.0,3.3745826816184277,2.0408163265306123,910,15
"Chandler, James K.",Literary Studies,433.0,814497.0,814064.0,3.7223129750548134,3.5294117647058822,2315,18
"Sloterdijk, Peter",Literary Studies,253.0,811428.0,811175.0,4.1545817884167215,0.3968253968253968,4209,29
