Field,Effect [95% CrI],Direction
Nuclear & Particle Physics,"0.801 [0.472, 1.143]",Higher coverage
Immunology,"0.683 [0.320, 1.063]",Higher coverage
Literary Studies,"-0.658 [-1.030, -0.309]",Lower coverage
Neurology & Neurosurgery,"0.651 [0.310, 0.998]",Higher coverage
Biochemistry & Molecular Biology,"0.625 [0.286, 0.977]",Higher coverage
Microbiology,"0.579 [0.256, 0.909]",Higher coverage
History,"-0.546 [-0.932, -0.196]",Lower coverage
Religions & Theology,"-0.507 [-0.872, -0.165]",Lower coverage
Law,"-0.500 [-0.869, -0.147]",Lower coverage
Genetics & Heredity,"0.430 [0.087, 0.774]",Higher coverage
Economics,"-0.420 [-0.767, -0.093]",Lower coverage
"Art Practice, History & Theory","-0.388 [-0.781, -0.021]",Lower coverage
Classics,"-0.371 [-0.799, 0.022]",Lower coverage
Political Science & Public Administration,"-0.312 [-0.667, 0.015]",Lower coverage
Geography,"0.252 [-0.070, 0.564]",Higher coverage
