field,Estimate,Est.Error,Q2.5,Q97.5,total_effect,effect_direction
Biochemistry & Molecular Biology,0.2522684658946547,0.12757895431261826,0.011874032358802267,0.5093757002031413,0.42014573211235734,positive
Archaeology,0.2103983778085555,0.1571582722719013,-0.08317447220449997,0.5309275105615577,0.37827564402625813,positive
Anthropology,0.19694654025079592,0.14616410616649855,-0.08100258403682738,0.4928294468259318,0.36482380646849855,positive
Organic Chemistry,0.17605454964758993,0.1512238075545924,-0.11226275686036856,0.48501556776008475,0.3439318158652926,positive
Communication & Media Studies,0.11991355162776444,0.23452486814373388,-0.3257341946207634,0.6137392354814489,0.2877908178454671,positive
Microbiology,0.08730657835847161,0.1451861531457103,-0.19799681735722788,0.3723795597899953,0.25518384457617427,positive
Education,0.07095937644031268,0.16114115517435718,-0.23882036731993542,0.40107396291434705,0.23883664265801535,positive
Nuclear & Particle Physics,0.06803368077953742,0.15353241974720497,-0.23340018216070643,0.3731396647972263,0.23591094699724008,positive
"Art Practice, History & Theory",0.05291408705680281,0.25567964507654267,-0.4502619220062023,0.5872492324614228,0.22079135327450547,positive
Geography,0.05086228666012258,0.15136574031917446,-0.24443926369231622,0.35180227137416215,0.21873955287782523,positive
History,0.03924595456824353,0.2177731804889998,-0.38575226345778346,0.46975696510307663,0.2071232207859462,positive
Classics,0.030500020652315683,0.2615604455242961,-0.48541975454488345,0.5632895079881146,0.19837728687001835,positive
Neurology & Neurosurgery,0.022239479496960108,0.1291166641759694,-0.23782117387174884,0.275019151481148,0.19011674571466278,positive
Genetics & Heredity,0.015570684220163387,0.14650658488955495,-0.281242594569756,0.30083788951963053,0.18344795043786605,positive
Economics,0.003175870415790791,0.20354203911556615,-0.39625685313929215,0.4171031187526008,0.17105313663349345,positive
Political Science & Public Administration,-0.001624026473787119,0.1980000787210106,-0.4003449766545704,0.386599847040033,0.16625323974391554,positive
Philosophy,-0.004741348673815955,0.19042243509910978,-0.39386343860127226,0.367964361024593,0.1631359175438867,positive
Sociology,-0.05336305082075971,0.20019978302028804,-0.4662051769117147,0.33145338219277565,0.11451421539694295,positive
Languages & Linguistics,-0.08832058050247284,0.13928020940050426,-0.3700147249485408,0.17384765054765025,0.07955668571522982,positive
Literary Studies,-0.1809104007269567,0.13475383948909508,-0.4667786327488594,0.06258050520870596,-0.01303313450925403,negative
Immunology,-0.2995508410367989,0.15906154126369967,-0.6242759003280212,0.0011047542744800625,-0.13167357481909625,negative
Law,-0.358353185774175,0.15985719746205934,-0.701128166970871,-0.07692079748945797,-0.19047591955647236,negative
Religions & Theology,-0.38988621961366343,0.16733255256151466,-0.7460188488333263,-0.0917443875666704,-0.22200895339596077,negative
