field,Estimate,Est.Error,Q2.5,Q97.5
Nuclear & Particle Physics,0.8006532280402849,0.1705065302724375,0.4719070885566446,1.1430212989964303
Immunology,0.6830243807535417,0.18952959672559064,0.3198952450877777,1.0625500383569852
Neurology & Neurosurgery,0.6505052809773791,0.17520412112304284,0.3098845086956043,0.997508865294939
Biochemistry & Molecular Biology,0.6246136837291565,0.17642572306068297,0.2861263639649039,0.9766428276105988
Microbiology,0.5794642361741024,0.1672459622549337,0.25609942683380643,0.909403703319264
Genetics & Heredity,0.42953272418339544,0.17578922986810877,0.08696911548579282,0.7737582609731924
Geography,0.25151450129249503,0.16151613174136892,-0.06960638886768311,0.5640295703587381
Organic Chemistry,0.16195884493425178,0.16883508518977144,-0.16933849900385917,0.4962533020577829
Education,0.004278049202957254,0.1674476139099877,-0.3307198452181573,0.33520855512300834
Communication & Media Studies,-0.0156837693780575,0.1653828189501327,-0.3516305999001261,0.30308170358965925
Anthropology,-0.06662032051154222,0.17398469189423785,-0.41993989590146785,0.27041618491964337
Philosophy,-0.09020888837426817,0.1744621593716314,-0.446477745030781,0.24175850236459795
Archaeology,-0.11685938118789069,0.16519509886399306,-0.4447681592898127,0.20418498160413232
Sociology,-0.12075051456336594,0.1702720332284658,-0.4626120826613952,0.20868015661831074
Languages & Linguistics,-0.14945385306342207,0.1663669654681163,-0.48567469581207967,0.16705735411324024
Political Science & Public Administration,-0.3117831952451249,0.17408458919599307,-0.6667730224049064,0.01506483329399468
Classics,-0.37141708903767484,0.2120854884730936,-0.7993914386484858,0.022084949364770467
"Art Practice, History & Theory",-0.3876868435637922,0.1927086000787795,-0.7808624394954785,-0.021355154000070896
Economics,-0.42040828314616224,0.1713401324241714,-0.7666712706527438,-0.0926734748600643
Law,-0.5002177505411468,0.1825687092520338,-0.8690063072116094,-0.1466236196741
Religions & Theology,-0.507156249555608,0.17911344923569217,-0.8716640655224775,-0.16512126927790738
History,-0.5455943266230644,0.18879160638445214,-0.9318420580330039,-0.19640515534716957
Literary Studies,-0.6584866028331163,0.18508307798602036,-1.0301210751173866,-0.30860367975070063
