prior,parameter,median,ci_lower,ci_upper,pd,rope_pct
default,elsevier_pct_z,0.15573646377784361,0.08062170361256521,0.23098292043048316,1,7.3
default,books_pct_z,-0.0810700802759031,-0.16423212341734814,-1.3993716679036612e-5,0.975,67.55
default,field_type_fmixed,-0.7541672411790296,-0.9335623532264881,-0.5729313940976892,1,0
default,field_type_fbook_heavy,-0.9674997971594731,-1.1729628811557877,-0.7627916094827871,1,0
default,log_works_z,-0.287219824643168,-0.35186417497266564,-0.22684034372613684,1,0
skeptical,elsevier_pct_z,0.161776576238369,0.08528278139582961,0.2356596210120583,1,5.708333333333333
skeptical,books_pct_z,-0.08926128092397717,-0.17077189200818896,-0.006868563482565314,0.9829166666666667,60.20833333333333
skeptical,field_type_fmixed,-0.7184459588362198,-0.8944882884191859,-0.5369074947123683,1,0
skeptical,field_type_fbook_heavy,-0.9245070125218802,-1.1243884980879124,-0.7227443675081727,1,0
skeptical,log_works_z,-0.28414634061663296,-0.34697666965829205,-0.22234389561720486,1,0
diffuse,elsevier_pct_z,0.15309127319815125,0.07892283206313805,0.22987102299185488,0.9999166666666667,8.241666666666667
diffuse,books_pct_z,-0.08011813802795495,-0.16400397090963348,0.002748036741345094,0.9698333333333333,67.93333333333334
diffuse,field_type_fmixed,-0.7621643389824729,-0.9439350199476425,-0.5801293766107158,1,0
diffuse,field_type_fbook_heavy,-0.9785693475174929,-1.1853940140063812,-0.7724621799135597,1,0
diffuse,log_works_z,-0.28794608978551195,-0.3517974744485971,-0.22605173198878584,1,0
